2024-08-06T01:56:52.371398540Z {"component":"virt-handler","level":"info","msg":"device '/dev/net/tun' is present.","pos":"generic_device.go:300","timestamp":"2024-08-06T01:56:52.371337Z"}
2024-08-06T01:56:52.371509288Z {"component":"virt-handler","level":"info","msg":"device '/dev/kvm' is present.","pos":"generic_device.go:300","timestamp":"2024-08-06T01:56:52.371451Z"}
2024-08-06T01:56:52.437110986Z {"component":"virt-handler","level":"info","msg":"vhost-net device plugin started","pos":"generic_device.go:156","timestamp":"2024-08-06T01:56:52.436902Z"}
2024-08-06T01:56:52.437176235Z {"component":"virt-handler","level":"info","msg":"device '/dev/vhost-net' is present.","pos":"generic_device.go:300","timestamp":"2024-08-06T01:56:52.437088Z"}
2024-08-06T01:56:52.438976432Z {"component":"virt-handler","level":"info","msg":"refreshed device plugins for permitted/forbidden host devices","pos":"device_controller.go:350","timestamp":"2024-08-06T01:56:52.438911Z"}
2024-08-06T01:56:52.439168343Z {"component":"virt-handler","level":"info","msg":"enabled device-plugins for: []","pos":"device_controller.go:351","timestamp":"2024-08-06T01:56:52.438937Z"}
2024-08-06T01:56:52.439188323Z {"component":"virt-handler","level":"info","msg":"disabled device-plugins for: []","pos":"device_controller.go:352","timestamp":"2024-08-06T01:56:52.438952Z"}
2024-08-06T01:56:53.432491437Z {"component":"virt-handler","level":"info","msg":"refreshed device plugins for permitted/forbidden host devices","pos":"device_controller.go:350","timestamp":"2024-08-06T01:56:53.432319Z"}
2024-08-06T01:56:53.432527873Z {"component":"virt-handler","level":"info","msg":"enabled device-plugins for: []","pos":"device_controller.go:351","timestamp":"2024-08-06T01:56:53.432359Z"}
2024-08-06T01:56:53.432533021Z {"component":"virt-handler","level":"info","msg":"disabled device-plugins for: []","pos":"device_controller.go:352","timestamp":"2024-08-06T01:56:53.432370Z"}
2024-08-06T01:57:23.955322834Z W0806 01:57:23.951406   10212 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-08-06T01:57:29.044611444Z {"component":"virt-handler","level":"info","msg":"Updating cluster config from KubeVirt to resource version '9125'","pos":"configuration.go:363","timestamp":"2024-08-06T01:57:29.044520Z"}
2024-08-06T01:57:29.044629346Z {"component":"virt-handler","level":"info","msg":"refreshed device plugins for permitted/forbidden host devices","pos":"device_controller.go:350","timestamp":"2024-08-06T01:57:29.044559Z"}
2024-08-06T01:57:29.044635487Z {"component":"virt-handler","level":"info","msg":"enabled device-plugins for: []","pos":"device_controller.go:351","timestamp":"2024-08-06T01:57:29.044571Z"}
2024-08-06T01:57:29.044640125Z {"component":"virt-handler","level":"info","msg":"disabled device-plugins for: []","pos":"device_controller.go:352","timestamp":"2024-08-06T01:57:29.044580Z"}
2024-08-06T01:57:29.044649793Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T01:57:29.044590Z"}
2024-08-06T01:57:29.044654711Z {"component":"virt-handler","level":"info","msg":"set verbosity to 2","pos":"virt-handler.go:509","timestamp":"2024-08-06T01:57:29.044604Z"}
2024-08-06T01:57:29.044662255Z {"component":"virt-handler","level":"info","msg":"setting rate limiter to 5 QPS and 10 Burst","pos":"virt-handler.go:518","timestamp":"2024-08-06T01:57:29.044620Z"}
2024-08-06T01:57:29.044757836Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T01:57:29.044672Z"}
2024-08-06T01:57:34.058004603Z {"component":"virt-handler","level":"info","msg":"Updating cluster config from KubeVirt to resource version '9294'","pos":"configuration.go:363","timestamp":"2024-08-06T01:57:34.057897Z"}
2024-08-06T01:57:34.058032774Z {"component":"virt-handler","level":"info","msg":"Kubevirt Seccomp profile is not enabled","pos":"virt-handler.go:540","timestamp":"2024-08-06T01:57:34.057946Z"}
2024-08-06T01:57:34.058066094Z {"component":"virt-handler","level":"info","msg":"refreshed device plugins for permitted/forbidden host devices","pos":"device_controller.go:350","timestamp":"2024-08-06T01:57:34.057977Z"}
2024-08-06T01:57:34.058089896Z {"component":"virt-handler","level":"info","msg":"enabled device-plugins for: []","pos":"device_controller.go:351","timestamp":"2024-08-06T01:57:34.058040Z"}
2024-08-06T01:57:34.058114981Z {"component":"virt-handler","level":"info","msg":"disabled device-plugins for: []","pos":"device_controller.go:352","timestamp":"2024-08-06T01:57:34.058067Z"}
2024-08-06T01:57:34.058249253Z {"component":"virt-handler","level":"info","msg":"VSOCK server is already stopped","pos":"server.go:32","timestamp":"2024-08-06T01:57:34.058186Z"}
