2024-08-06T01:56:08.735324808Z {"component":"virt-operator","level":"info","msg":"ClusterRoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.735236Z"}
2024-08-06T01:56:08.736637464Z {"component":"virt-operator","level":"info","msg":"ClusterRoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.736349Z"}
2024-08-06T01:56:08.737454261Z {"component":"virt-operator","level":"info","msg":"ClusterRoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.737320Z"}
2024-08-06T01:56:08.738171108Z {"component":"virt-operator","level":"info","msg":"ClusterRoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.738050Z"}
2024-08-06T01:56:08.738871064Z {"component":"virt-operator","level":"info","msg":"ClusterRoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.738749Z"}
2024-08-06T01:56:08.739596407Z {"component":"virt-operator","level":"info","msg":"ClusterRoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.739479Z"}
2024-08-06T01:56:08.740192646Z {"component":"virt-operator","level":"info","msg":"Role loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.740098Z"}
2024-08-06T01:56:08.741256681Z {"component":"virt-operator","level":"info","msg":"Role loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.741170Z"}
2024-08-06T01:56:08.741622514Z {"component":"virt-operator","level":"info","msg":"Role loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.741549Z"}
2024-08-06T01:56:08.741980121Z {"component":"virt-operator","level":"info","msg":"Role loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.741920Z"}
2024-08-06T01:56:08.742344731Z {"component":"virt-operator","level":"info","msg":"Role loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.742283Z"}
2024-08-06T01:56:08.742822887Z {"component":"virt-operator","level":"info","msg":"RoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.742759Z"}
